feature_name,X,Y,Z,coord,val,gx,gy,gz
fault_3,190642.35,7775144.37,-9898.86,1,,-0.53,-0.01,0.85
fault_3,190850.38,7775648.54,-9901.06,1,,-0.53,-0.01,0.85
fault_3,191187.44,7776655.33,-9918.79,0,0,,,
fault_3,191893.53,7782670.31,-9935.3,0,0,,,
fault_3,191198.86,7777905.79,-9940.92,1,,-0.56,-0.01,0.83
fault_3,191100.83,7777653.83,-9945.35,0,0,,,
fault_3,191087.12,7776153.27,-9947.57,1,,-0.48,-0.01,0.88
fault_3,191308.75,7778408.04,-9967.51,1,,-0.49,-0.01,0.87
fault_3,191966.27,7782671.74,-9976.17,1,,-0.48,-0.01,0.88
fault_3,191956.17,7782921.59,-9988.17,0,0,,,
fault_3,191391.81,7780160,-9992.97,0,0,,,
fault_3,191261.03,7779407.3,-9992.97,0,0,,,
fault_3,191264.14,7776406.78,-9998.52,0,0,,,
fault_3,190967.66,7775650.83,-10011.78,0,0,,,
fault_3,191120.09,7777404.15,-10011.78,0,0,,,
fault_3,192128.51,7783675.11,-10017,0,0,,,
fault_3,191325.61,7778158.32,-10025.08,0,0,,,
fault_3,191323.67,7779658.57,-10060.26,0,0,,,
fault_3,191299.69,7779158.01,-10074.68,1,,-0.44,-0.01,0.9
fault_3,191333.16,7778908.62,-10084.29,0,0,,,
fault_3,191418.68,7780910.67,-10089.1,0,0,,,
fault_3,192143.79,7783425.36,-10108.33,0,0,,,
fault_3,192095.84,7782424.23,-10113.15,0,0,,,
fault_3,191154.25,7775904.54,-10113.65,0,0,,,
fault_3,191235.09,7777156.36,-10113.65,0,0,,,
fault_3,191465.14,7780661.54,-10127.56,0,0,,,
fault_3,191308.09,7779658.27,-10132.37,1,,-0.38,-0.01,0.93
fault_3,191990.24,7783172.3,-10137.17,1,,-0.36,-0.01,0.93
fault_3,191381.12,7779909.75,-10137.19,0,0,,,
fault_3,191893.02,7784420.64,-10139.57,1,,-0.42,-0.01,0.91
fault_3,191921.6,7784421.2,-10141.99,0,0,,,
fault_3,191281.51,7779157.65,-10141.99,0,0,,,
fault_3,192134,7783925.26,-10141.99,0,0,,,
fault_3,192144.4,7783925.47,-10158.8,1,,-0.5,-0.01,0.87
